name,city,district,subdistrict,address,lat,lon,phone,Sunday,Monday,Tuesday,Wednesady,Thursday,Friday,Saturday,notes,owner
כברי,כברי,צפון,עכו,ד.נ גליל מערבי,33.020985,35.147007,04-9952644,7:00-14:00,7:00-14:00  15:00-17:00,7:00-19:00,7:00-14:00,7:00-15:00,סגור,סגור,,קופת חולים כללית
כוכב יאיר,כוכב יאיר צור יגאל,מרכז,מרכז,"מרכז מסחרי בישוב, סניף לאומית.",32.220922,34.992405,,סגור,סגור,סגור,סגור,9:00-12:00,8:00-13:00,סגור,,קופת חולים לאומית
כוכב יאיר צור יגאל,כוכב יאיר צור יגאל,מרכז,השרון,מרכז ספיר,32.210471,34.985829,09-7904300,8:00-12:00  16:00-18:30,8:00-12:00  16:00-18:30,16:00-18:30,8:00-12:00  16:00-18:30,8:00-12:00  16:00-18:30,סגור,סגור,,מכבי שרותי בריאות
כוכב מיכאל,כוכב מיכאל,אשקלון,אשקלון,ד.נ לכיש דרום,31.631482,34.667794,08-6728746,סגור,סגור,סגור,סגור,סגור,סגור,סגור,,קופת חולים כללית
כיסופים,כיסופים,דרום,באר שבע,ד.נ הנגב,31.374545,34.398992,08-9928800,13:00-14:00,סגור,סגור,סגור,16:00-17:00,סגור,סגור,,קופת חולים כללית
כנף,כנף,צפון,כנרת,כנף,32.870378,35.698964,04-6733676,סגור,סגור,8:00-13:00,14:00-18:00,סגור,סגור,סגור,,משרד הבריאות
"כסייפה+ (מט""ח)",כסייפה,דרום,באר שבע,כסייפה,31.254818,35.069035,08-9955098,8:00-20:00,8:00-16:00,8:00-16:00,8:00-16:00,8:00-16:00,סגור,סגור,,משרד הבריאות
כסרא,כסרא,צפון,עכו,כסרא,32.968605,35.306174,04-9873070,8:00-16:00,8:00-16:00,8:00-16:00,8:00-16:00,8:00-16:00,סגור,סגור,,משרד הבריאות
כעבייה,כעביה-טבאש-חג'אג'רה,צפון,יזרעאל,כעבייה,32.75886,35.184205,04-9536668,סגור,8:00-14:00,8:00-20:00,8:00-14:00,8:00-14:00,8:00-13:00,סגור,,משרד הבריאות
חג'אג'רה,כעביה-טבאש-חג'אג'רה,צפון,יזרעאל,חג'אג'רה,32.745208,35.198906,04-9531360,סגור,8:00-20:00,סגור,8:00-20:00,סגור,8:00-13:00,סגור,,משרד הבריאות
כפר בלום,כפר בלום,צפון,צפת,ד.נ גליל עליון,33.172527,35.607938,04-6948527,סגור,12:30-16:30,11:00-12:00,סגור,סגור,סגור,סגור,,קופת חולים כללית
כפר ברא,כפר ברא,מרכז,פתח תקווה,קובה,32.131229,34.969199,03-9021271,סגור,סגור,סגור,7:30-15:30,7:30-15:30,סגור,סגור,,משרד הבריאות
כפר גלעדי,כפר גלעדי,צפון,צפת,ד.נ גליל עליון,33.242078,35.574142,04-6946385,סגור,סגור,סגור,8:00-13:00,סגור,סגור,סגור,,קופת חולים כללית
כפר החורש,כפר החורש,צפון,יזרעאל,ד.נ כפר החורש,32.701549,35.272956,04-6558444,סגור,סגור,סגור,סגור,סגור,סגור,סגור,,קופת חולים כללית
כפר המכבי,כפר המכבי,חיפה,חיפה,כפר המכבי,32.791796,35.117251,04-8458745,סגור,יחוסנו באושה,סגור,סגור,סגור,סגור,סגור,,קופת חולים כללית
כפר ויתקין,כפר ויתקין,מרכז,השרון,כפר ויתקין,32.381447,34.875713,09-8666083,8:00-14:00  16:00-19:00,8:00-13:00,8:00-13:0016:00-19:00,8:00-13:30,8:00-13:00,סגור,סגור,,קופת חולים כללית
כפר ורדים,כפר ורדים,צפון,עכו,המרכז המסחרי,32.995088,35.269101,04-9971187,8:00-16:00,11:00-19:00,8:00-16:00,8:00-16:00,8:00-19:00,8:00-12:00,סגור,,קופת חולים כללית
כפר זיתים,כפר זיתים,צפון,כנרת,ד.נ גליל תחתון,32.811614,35.465165,"04-6793794 ,04-6737934",סגור,סגור,סגור,סגור,7:30-11:00,סגור,סגור,,קופת חולים כללית
כפר חבד,כפר חבד,מרכז,רמלה,מרכז הכפר,31.990144,34.849103,03-9606993,8:00-16:00,8:00-16:00,8:00-20:00,8:00-16:00,8:00-20:00,8:00-13:00,סגור,אחיעזר יגל צפריה זיתן תוחלת,משרד הבריאות
כפר חרוב,כפר חרוב,צפון,כנרת,,32.762357,35.66418,04-6761824,סגור,סגור,סגור,סגור,סגור,12:00-13:00,סגור,,קופת חולים כללית
כפר יאסיף א' +ב',כפר יאסיף,צפון,עכו,כפר יאסיף,32.957859,35.16436,04-9996098,8:00-16:00,8:00-16:00,8:00-18:00,8:00-16:00,8:00-16:00,סגור,סגור,,משרד הבריאות
כפר יובל,כפר יובל,צפון,צפת,,33.246577,35.597063,04-6941928,סגור,סגור,סגור,9:00-12:00,סגור,סגור,סגור,,קופת חולים כללית
כפר יונה,כפר יונה,מרכז,השרון,שרת 5,32.3175774,34.9353145,09-8971168,8:00-20:00,8:00-20:00,8:00-16:00,8:00-20:00,8:00-16:00,8:00-12:00,סגור,"שווי שומרון, חומש, חניאל, בורגתא, בחן, אחיטוב, אמץ",משרד הבריאות
כפר יחזקאל,כפר יחזקאל,צפון,יזרעאל,ד.נ גלבוע,32.566949,35.360888,04-6531876,סגור,סגור,סגור,סגור,סגור,סגור,סגור,,קופת חולים כללית
כפר כמא,כפר כמא,צפון,כנרת,כפר כמא,32.723045,35.439546,04-6765660,סגור,8:00-15:00,8:00-15:00,8:00-18:00,סגור,סגור,סגור,,משרד הבריאות
כפר כנא א',כפר כנא,צפון,נצרת,כפר כנא,32.742325,35.347232,04-6517277,8:00-15:00,8:00-15:00,8:00-15:00,8:00-15:00,8:00-15:00,8:00-13:00,סגור,,משרד הבריאות
כפר כנא ב',כפר כנא,צפון,נצרת,כפר כנא,32.742325,35.347232,04-6411782,8:00-14:00,8:00-14:00,8:00-14:00,8:00-14:00,8:00-14:00,סגור,סגור,,משרד הבריאות
כפר כנא ג',כפר כנא,צפון,נצרת,כפר כנא,32.742325,35.347232,04-6419167,סגור,8:00-14:00,8:00-19:00,8:00-14:00,8:00-14:00,8:00-14:00,סגור,,משרד הבריאות
כפר מנדא א,כפר מנדא,צפון,עכו,כפר מנדא,32.807865,35.260021,04-9864453,8:00-16:00,8:00-16:00,8:00-16:00,8:00-16:00,8:00-16:00,סגור,סגור,,משרד הבריאות
כפר מנדא ב,כפר מנדא,צפון,עכו,כפר מנדא,32.807865,35.260021,04-9863614,8:00-18:00,8:00-16:00,8:00-16:00,8:00-16:00,8:00-16:00,סגור,סגור,,משרד הבריאות
כפר מנדא ג,כפר מנדא,צפון,עכו,כפר מנדא,32.807865,35.260021,04-9864708,8:00-16:00,8:00-16:00,8:00-16:00,8:00-16:00,8:00-16:00,סגור,סגור,,משרד הבריאות
כפר מסריק,כפר מסריק,צפון,עכו,ד.נ אושרת,32.891218,35.098414,04-9854143,סגור,יחוסנו בעין המפרץ,סגור,סגור,סגור,סגור,סגור,,קופת חולים כללית
מצר,כפר מצר,צפון,יזרעאל,מצר,32.642324,35.421794,04-6769512,8:00-14:00,סגור,8:00-14:00,סגור,8:00-20:00,סגור,סגור,,משרד הבריאות
כפר סאלד,כפר סאלד,צפון,צפת,ד.נ גליל עליון,33.196035,35.657993,04-6907555,סגור,סגור,16:00-19:00,סגור,סגור,סגור,סגור,,קופת חולים כללית
וייצמן,כפר סבא,מרכז,פתח תקווה,רח' וויצמן 83,32.178195,34.90761,,סגור,סגור,סגור,סגור,14:00-20:00,סגור,סגור,,קופת חולים לאומית
כפר סבא,כפר סבא,מרכז,פתח תקווה,"ויצמן 42 (בית יתיר) כ""ס",32.178195,34.90761,09-7423420,8:00-16:00,8:00-20:00,8:00-16:00  17:00-20:00,8:00-19:00,8:00-20:00,סגור,סגור,,קופת חולים מאוחדת
בן גוריון,כפר סבא,מרכז,פתח תקווה,בן גוריון 43,32.1722443,34.908862,"09-7651265 ,09-7634000",7:00-14:00,7:00-13:0016:00-19:00,8:00-12:00,8:00-13:00,8:00-13:00,סגור,סגור,,קופת חולים כללית
הדרים,כפר סבא,מרכז,פתח תקווה,"עמק החולה 5,",32.1793793,34.9350831,09-7664422,9:00-12:0016:00-18:00,9:00-12:00,9:00-12:00,9:00-12:0016:00-18:00,9:00-11:00,סגור,סגור,,קופת חולים כללית
מרכז הילד,כפר סבא,מרכז,פתח תקווה,הגליל 5,32.1741741,34.9170542,"09-7658111 ,09-7631200",9:00-12:0013:00-18:45,9:00-13:00,9:00-14:0016:00-18:30,9:00-13:00,9:00-13:0015:30-18:30,8:00-12:00,סגור,,קופת חולים כללית
קפלן,כפר סבא,מרכז,פתח תקווה,יחזקאל 12,32.1842198,34.9371351,"09-7656101 ,09-7630600",9:00-12:0016:00-19:00,9:00-14:00,9:00-13:3016:00-19:00,9:00-14:00,9:00-13:3016:00-19:00,סגור,סגור,,קופת חולים כללית
כפר עזה,כפר עזה,אשקלון,אשקלון,ד.נ הנגב,31.483416,34.532291,"08-6809777 ,08-6809222",סגור,סגור,9:00-11:00,סגור,סגור,9:00-11:00,סגור,,קופת חולים כללית
כפר עציון,כפר עציון,ירושלים,ירושלים,ד.נ צפון יהודה,31.649486,35.115234,02-9935138,סגור,15:30-17:30,סגור,סגור,סגור,סגור,סגור,,קופת חולים כללית
אלחנאן,כפר עקב,ירושלים,ירושלים,כביש רמלה אל קודס,31.872486,35.225322,02-5853026,סגור,סגור,סגור,7:00-16:00,סגור,7:00-16:00,סגור,שבת 7:00-16:00,משרד הבריאות
אל אמל,כפר קאסם,מרכז,פתח תקווה,רח' בלאל בן רבאח,32.114093,34.972767,03-9071595,7:30-15:30,7:30-15:30,11:00-20:00,7:30-20:00,7:30-15:30,סגור,סגור,,משרד הבריאות
כפר קאסם א',כפר קאסם,מרכז,פתח תקווה,רח' סולטני,32.114093,34.972767,03-9071834,7:30-15:30,7:30-15:30,7:30-20:00,7:30-20:00,7:30-15:30,7:30-13:00,סגור,,משרד הבריאות
כפר קיש,כפר קיש,צפון,כנרת,ד.נ גליל תחתון,32.666087,35.44895,04-6765317,סגור,סגור,סגור,סגור,סגור,סגור,סגור,,קופת חולים כללית
קרע ב,כפר קרע,חיפה,חדרה,קרע,32.497446,35.063863,077-2031350,8:00-13:30,8:00-13:30,8:00-20:00,8:00-13:30,8:00-13:30,סגור,סגור,,משרד הבריאות
קרע ג,כפר קרע,חיפה,חדרה,קרע,32.497446,35.063863,04-6358076,8:00-13:30,8:00-13:30,8:00-13:30,8:00-13:30,8:00-13:30,סגור,סגור,,משרד הבריאות
כפר רופין,כפר רופין,צפון,יזרעאל,ד.נ בית שאן,32.457549,35.555673,04-6068201,סגור,סגור,סגור,סגור,סגור,סגור,סגור,,קופת חולים כללית
כפר תבור,כפר תבור,צפון,יזרעאל,כפר תבור,32.689563,35.419095,04-6766868,8:00-14:00,10:00-20:00,8:00-14:00,8:00-14:00,8:00-14:00,8:00-13:00,סגור,,משרד הבריאות
כרמי יוסף,כרמי יוסף,מרכז,רמלה,כרמי יוסף,31.846248,34.919592,08-9286006,סגור,8:00-13:00,8:00-13:00,סגור,8:00-10:00,סגור,סגור,,קופת חולים כללית
כרמיאל לאומית,כרמיאל,צפון,עכו,החרושת 17,32.9211957,35.3083666,04-9088019,8:00-16:00,סגור,88:00-16:00,סגור,8:00-18:00,סגור,סגור,,משרד הבריאות
כרמיאל,כרמיאל,צפון,עכו,בית הכרם 16 כרמיאל,32.9114616,35.286025,04-9087114,7:30-19:00,7:30-15:30,12:00-19:00,7:30-15:30,8:00-15:00,סגור,סגור,,קופת חולים מאוחדת
כרמיאל חבצלת,כרמיאל,צפון,צפון,חבצלת 3,32.9082717,35.2986933,04-9027222,8:00-20:00,8:00-20:00,8:00-20:00,8:00-20:00,8:00-20:00,8:00-11:30,סגור,,מכבי שרותי בריאות
חבצלת,כרמיאל,צפון,עכו,רח' חבצלת 2 כרמיאל,32.914671,35.292417,04-9883270,8:00-19:00,8:00-16:00,8:00-19:00,8:00-13:00,8:00-17:00,סגור,סגור,,קופת חולים כללית
כרמיאל דרום,כרמיאל,צפון,עכו,חבצלת 2 כרמיאל,32.906762,35.2991182,04-9883270,סגור,סגור,סגור,סגור,סגור,סגור,סגור,,קופת חולים כללית
כרמיאל מרכז,כרמיאל,צפון,עכו,משעול הרקפות 41,32.9167801,35.3045999,04-9900500,11:00-14:00,סגור,8:00-16:00,8:00-12:00,8:00-14:00,סגור,סגור,,קופת חולים כללית
כרמיאל רמת רבין,כרמיאל,צפון,עכו,חטיבת גבעתי 27,32.9065924,35.2810353,04-9589170,8:00-13:00,יחוסנו בחבצלת,סגור,סגור,8:00-13:30,8:00-12:00,סגור,,קופת חולים כללית
כרמיה,כרמיה,אשקלון,אשקלון,ד.נ חוף אשקלון,31.602695,34.540413,08-6479830,סגור,10:30-11:30,סגור,סגור,16:00-17:00,סגור,סגור,,קופת חולים כללית
כרמל,כרמל,דרום,באר שבע,ד.נ. הר חברון,31.432786,35.182268,,11:00-14:00,9:00-10:30,16:00-18:00,סגור,סגור,סגור,סגור,,קופת חולים לאומית
לב ביתר,ביתר עילית,ירושלים,ירושלים,הרן 20,31.7031425,35.1182188,02-5887000,8:00-19:00,8:00-17:00,8:30-15:30,8:30-19:00,8:00-12:00,8:00-12:00,סגור,,קופת חולים כללית
לביא,לביא,צפון,כנרת,ד.נ גליל תחתון,32.787648,35.440717,04-6799215,סגור,9:00-11:0015:30-17:30,סגור,9:00-11:00,סגור,סגור,סגור,,קופת חולים כללית
להב,להב,דרום,באר שבע,ד.נ הנגב,31.379363,34.871311,08-9913490,סגור,סגור,סגור,סגור,סגור,סגור,סגור,,קופת חולים כללית
להבות הבשן,להבות הבשן,צפון,צפת,ד.נ גליל עליון,33.141387,35.645095,04-6952134,7:30-8:30,סגור,7:00-8:30  15:00-17:00,7:00-8:30   15:00-17:00,סגור,7:30-9:30,סגור,,קופת חולים כללית
להבים,להבים,דרום,באר שבע,מרכז מסחרי,31.374504,34.809165,08-6510230,13:00-19:00,סגור,סגור,סגור,סגור,סגור,סגור,,מכבי שרותי בריאות
להבים,להבים,דרום,באר שבע,ת.ד 10 מרכז להבים,31.373835,34.816952,08-6681222,סגור,סגור,סגור,סגור,סגור,סגור,סגור,,קופת חולים כללית
גני אביב,לוד,מרכז,רמלה,צמרות 7,31.9577629,34.881171,08-9227239,8:00-16:00,8:00-16:00,12:00-20:00,8:00-16:00,8:00-16:00,8:00-13:00,סגור,,משרד הבריאות
נוה נוף,לוד,מרכז,רמלה,רותם 11,31.9507012,34.9028917,08-9255548,8:00-20:00,8:00-20:00,8:00-20:00,8:00-20:00,8:00-20:00,8:00-13:00,סגור,בית נחמיה בית עריף כפר טרומן,משרד הבריאות
אורנים,לוד,מרכז,רמלה,בן חקון 1 פינת אינשטיין,31.947568,34.882391,08-9230133,8:00-20:00,8:00-20:00,8:00-20:00,8:00-20:00,8:00-20:00,8:00-13:00,סגור,,משרד הבריאות
שרת,לוד,מרכז,רמלה,ספרן מאיר 1,31.9517633,34.8893379,08-9231222,8:00-16:00,8:00-16:00,12:00-20:00,8:00-16:00,8:00-16:00,8:00-13:00,סגור,,משרד הבריאות
גבעת הזיתים,לוד,מרכז,רמלה,חללי מנכן 8,31.9467364,34.8951784,08-9246507,8:00-20:00,8:00-20:00,8:00-20:00,8:00-20:00,8:00-20:00,8:00-13:00,סגור,חדיד גימזו כפר דניאל בן שמן גנתון,משרד הבריאות
לוחמי הגטאות,לוחמי הגטאות,צפון,עכו,ד.נ אשרת,32.962661,35.096741,04-9933666,סגור,יחוסנו בטרומפלדור נהריה,סגור,סגור,8:00-12:00,סגור,סגור,,קופת חולים כללית
לימן,לימן,צפון,עכו,ד.נ גליל מערבי,33.058732,35.111815,04-9824236,סגור,סגור,סגור,8:00-12:00,סגור,סגור,סגור,,קופת חולים כללית
לכיש,לכיש,אשקלון,אשקלון,ד.נ לכיש דרום,31.560907,34.84409,08-6887976,9:00-12:00,סגור,סגור,סגור,סגור,סגור,סגור,,קופת חולים כללית
מרכז וורדון,לכיש,אשקלון,אשקלון,ד.נ. לכיש,31.560907,34.84409,08-8500670,סגור,סגור,סגור,סגור,סגור,סגור,סגור,,קופת חולים כללית
למפרט,כפר סבא,מרכז,פתח תקווה,המעפילים 5,32.1785134,34.8996264,09-7477400,8:00-12:0016:00-19:00,8:00-14:30,8:00-12:3016:00-19:00,7:30-14:0016:00-19:00,7:30-14:00,8:00-12:00,סגור,,קופת חולים כללית
לקייה א',לקייה,דרום,באר שבע,לקייה,31.324603,34.868095,08-6517479,8:00-16:00,8:00-16:00,8:00-16:00,8:00-16:00,8:00-16:00,סגור,סגור,,משרד הבריאות
לקייה ב',לקייה,דרום,באר שבע,לקייה,31.324603,34.868095,08-6512580,8:00-16:00,8:00-16:00,8:00-16:00,8:00-16:00,8:00-16:00,סגור,סגור,,משרד הבריאות
מאור,מאור,חיפה,חדרה,ד.נ מנשה,32.425832,35.005289,04-6372627,סגור,סגור,סגור,13:30-15:30,7:30-11:00,סגור,סגור,,קופת חולים כללית
מבוא חורון,מבוא חורון,מרכז,רמלה,ד.נ שמשון,31.849598,35.034977,08-9726782,סגור,8:00-13:00,סגור,סגור,16:00-19:00,סגור,סגור,,קופת חולים כללית
מבועים,מבועים,דרום,באר שבע,מבועים,31.446446,34.654165,08-9930061,סגור,סגור,8:00-16:00,8:00-20:00,סגור,סגור,סגור,,משרד הבריאות
הראל,מבשרת  ציון,ירושלים,ירושלים,דם המכבים 183,31.802202,35.146697,02-5700368,8:00-14:30,סגור,8:00-14:30,סגור,סגור,סגור,סגור,,משרד הבריאות
מג'דל שמס,מג'דל שמס,צפון,צפת,מג'דל שמס,33.2696495,35.7723526,04-6983183,8:00-20:00,8:00-16:00,סגור,8:00-16:00,8:00-16:00,סגור,סגור,,משרד הבריאות
מג'אר צפונית,מגאר,צפון,כנרת,מג'אר,32.890482,35.407665,04-6784630,8:00-20:00,8:00-14:30,8:00-14:30,8:00-14:30,סגור,7:30-14:30,סגור,,משרד הבריאות
מג'אר מערבית,מגאר,צפון,כנרת,מג'אר,32.890482,35.407665,04-6781165,7:30-14:30,סגור,סגור,8:00-18:00,סגור,סגור,סגור,,משרד הבריאות
מג'אר מנסורה,מגאר,צפון,כנרת,מג'אר,32.890482,35.407665,04-6783265,סגור,8:00-18:00,7:30-14:30,סגור,סגור,7:30-14:30,סגור,,משרד הבריאות
מג'אר ראסאלכביה,מגאר,צפון,כנרת,מג'אר,32.890482,35.407665,04-6781059,סגור,7:30-14:30,7:30-13:30,סגור,8:00-18:00,סגור,סגור,,משרד הבריאות
מג'אר מרכזית,מגאר,צפון,כנרת,מג'אר,32.890482,35.407665,04-6786132,8:00-20:00,7:30-15:00,8:00-20:00,8:00-20:00,8:00-20:00,7:30-14:30,סגור,,משרד הבריאות
מג'אר ג'משה,מגאר,צפון,כנרת,מג'אר,32.890482,35.407665,04-6780249,7:30-13:30,7:30-13:30,סגור,8:00-18:00,סגור,7:30-13:30,סגור,,משרד הבריאות
מגדים,מגדים,חיפה,חדרה,ד.נ חוף הכרמל,32.727734,34.960923,04-8574882,סגור,סגור,סגור,8:00-13:00,סגור,סגור,סגור,,קופת חולים כללית
מגדל,מגדל,צפון,כנרת,מגדל,32.839271,35.498943,04-6720742,8:00-15:00,סגור,8:00-20:00,סגור,סגור,8:00-13:00,סגור,,משרד הבריאות
נוף העמק,מגדל העמק,צפון,יזרעאל,מגדל העמק,32.676868,35.263487,04-6443808,8:00-14:00,8:00-14:00,8:00-20:00,8:00-14:00,8:00-14:00,8:00-13:00,סגור,,משרד הבריאות
מגדל העמק,מגדל העמק,צפון,יזרעאל,האלה 2,32.6769005,35.2397867,04-6447065,סגור,סגור,סגור,סגור,סגור,סגור,סגור,,קופת חולים כללית
מגידו,מגידו,צפון,יזרעאל,ד.נ מגידו,32.577899,35.179972,04-6525742,סגור,סגור,סגור,סגור,סגור,סגור,סגור,,קופת חולים כללית
מגל,מגל,חיפה,חדרה,ד.נ מנשה,32.385556,35.036147,04-6365965,8:00-12:00,סגור,8:00-12:00,8:00-12:00,סגור,סגור,סגור,,קופת חולים כללית
מגן,מגן,דרום,באר שבע,ד.נ הנגב,31.298108,34.427059,08-9983203,7-13,סגור,סגור,סגור,סגור,7-13,סגור,,קופת חולים כללית
מגן שאול,מגן שאול,צפון,יזרעאל,ד.נ גלבוע,32.521471,35.306431,04-6400115,סגור,סגור,סגור,סגור,סגור,סגור,סגור,,קופת חולים כללית
דוכיפת,מודיעין,מרכז,רמלה,הנביאים 23,31.9124393,35.0063226,08-9707512/266,8:00-20:00,8:00-20:00,8:00-20:00,8:00-20:00,8:00-20:00,8:00-13:00,סגור,,משרד הבריאות
נחל צלמון,מודיעין,מרכז,רמלה,נחל צלמון 17,31.8918354,35.0101891,08-9751553/2,8:00-20:00,8:00-20:00,8:00-20:00,8:00-20:00,8:00-20:00,8:00-13:00,סגור,"שילת כפר רות חשמונאים נילי נעלה לפיד כפר אורנים בית חורון מבוא חורון, מבוא מודיעין טלמון דולב",משרד הבריאות
עמק דותן,מודיעין,מרכז,רמלה,עמק דותן 53 מודיעין,31.8994251,35.0135645,08-9735666,8:00-20:00,8:30-13:30,13:00-18:30,8:00-13:30,8:00-13:0016:00-18:30,8:00-12:00,סגור,,מכבי שרותי בריאות
מודיעין עזריאלי,מודיעין,מרכז,רמלה,"בית אלעזר, קניון עזריאלי, לב העיר 110 מודיעין",31.90912,35.002462,08-9737004,8:00-20:00,8:00-20:00,8:00-16:00,8:00-20:00,8:00-16:00,8:00-13:00,סגור,,קופת חולים מאוחדת
ברכפלד,מודיעין עילית,מרכז,רמלה,רבי עקיבא  3,31.9397853,35.0386318,"08-9741988 ,08 -9741988",8:30-18:00,8:30-18:00,8:30-17:00,8:30-18:00,8:30-17:00,8:00-12:00,סגור,,קופת חולים כללית
חפציבה,מודיעין עילית,מרכז,רמלה,,31.932477,35.042265,04-6534100,סגור,סגור,סגור,סגור,סגור,סגור,סגור,,קופת חולים כללית
אבי עזרי,מודיעין עילית,מרכז,רמלה,"שדרות הרב מפוניביז, 12",31.9236156,35.0491288,08-9315270,סגור,8:00-13:0016:00-19:00,סגור,8:00-14:00,סגור,סגור,סגור,,קופת חולים כללית
נאות פסגה,מודיעין עילית,מרכז,רמלה,"הריטב""א 7/1",31.9280154,35.0488836,"08-9285330 ,08-9285330",8:30-12:00,סגור,8:30-14:30,8:30-16:00,סגור,סגור,סגור,,קופת חולים כללית
קרית ספר,מודיעין עילית,מרכז,רמלה,מסילת יוסף 34,31.9297051,35.0435471,08-9740318,8:00-18:00,9:00-19:30,8:00-15:00,8:00-14:00,אחת לשבועיים   8:00-13:00,אחת לשבועיים   8:00-12:00,סגור,,קופת חולים כללית
ברכלפלד,מודיעין עילית,מרכז,רמלה,רבי עקיבא 3 מודיעין עילית - ברכפלד,31.932477,35.042265,08-9743667,8:00-20:00,8:00-20:00,8:00-20:00,8:00-20:00,8:00-20:00,8:00-12:00,סגור,,קופת חולים מאוחדת
גרין פארק,מודיעין עילית,מרכז,מרכז,הרב מפונוביץ 3 מודיעין עילית - גרין פארק,31.923435,35.047093,08-6486266,8:00-16:00,8:00-16:00,8:00-16:00,8:00-16:00,8:00-15:00,8:00-12:00,סגור,,קופת חולים מאוחדת
קרית ספר,מודיעין עילית,מרכז,מרכז,אבני נזר 46 מודיעין עילית-קרית ספר,31.933159,35.043286,08-9144321,8:00-13:20  15:00-20:00,8:30-16:00,9:00-18:00,8:00-13:30  16:30-20:00,8:00-13:30,8:00-10:00,סגור,,קופת חולים מאוחדת
ברכפלד,מודיעין עילית,מרכז,רמלה,שד' יחזקאל 2,31.932477,35.042265,08-9132111,8:00-12:3016:00-18:00,8:00-12:3016:00-18:00,8:00-12:3016:00-18:00,8:00-12:3016:00-18:00,8:00-12:3016:00-18:30,סגור,סגור,,מכבי שרותי בריאות
מולדת,מולדת,צפון,יזרעאל,ד.נ גלבוע,32.586196,35.438941,04-6532294,סגור,סגור,סגור,סגור,סגור,סגור,סגור,,קופת חולים כללית
מוסמוס,מוסמוס,חיפה,חדרה,מוסמוס,32.545905,35.155581,04-6311384,8:00-20:00,סגור,8:00-13:30,סגור,8:00-13:30,סגור,סגור,,משרד הבריאות
מוקייבלה,מוקייבלה,צפון,יזרעאל,מוקייבלה,32.514807,35.296685,04-6407385,8:00-14:00,8:00-14:00,8:00-14:00,8:00-14:00,8:00-20:00,8:00-13:00,סגור,,משרד הבריאות
מורן,מורן,צפון,עכו,ד.נ בקעת בית הכרם,32.921637,35.39481,04-6988997,סגור,סגור,סגור,סגור,סגור,סגור,סגור,,קופת חולים כללית
מזור,מזור,מרכז,פתח תקווה,מושב מזור,32.050698,34.931373,03-9327885,בנחלים,בנחלים,סגור,סגור,סגור,סגור,סגור,,קופת חולים כללית
מזכרת בתיה,מזכרת בתיה,מרכז,רחובות,הרקפת 3,31.853167,34.842421,08-9340341,8:00-20:00,7:30-17:00,7:30-17:00,7:30-17:00,7:30-17:00,7:30-13:00,סגור,בודדים מיציץ וגני יוחנן,משרד הבריאות
מזרע,מזרע,צפון,יזרעאל,,32.649879,35.286404,04-6429809,סגור,סגור,סגור,סגור,סגור,סגור,סגור,,קופת חולים כללית
